FGM	FGA	FGK	SPK	FGP	FSP	FGN	SCO	GDP	FSN	FNN	FGT	FGG	FSG	CGB	FPC	DGR	DGP	CGR	NWD	FVP	DGD	DPQ	DCN	DNN	DIN	FGC	FGE	FCN	HMP	ARR	GCN	GFN	GFP	GP3	GEI	CSE	EAL	CAL	LKA	LKO	LKP	DMP	DMG	GUN	GAD	GFL	PGL	GGH	GSI	ALP	GIT	UST	GPC	PSC	PCA	PMN	RHM	FRC	NRC	DOR	FFP	NUP	PNP	NUD	NUC	NM1	NM2	NUA	NGL	EAF	ACM	DSN	DSA	DSS	DOC	NEX	PEX	FEX	PDC	PCL	APO	WAP	AGE	OPK	TSP	TDP	TDC	TSA	TAR	TLC	TND	TDA	TNL is_romantic
+	+	+	-	+	0	+	0	0	+	+	-	+	+	-	-	+	0	-	-	+	-	-	-	-	-	0	0	-	-	+	-	0	0	0	0	+	-	-	-	-	-	0	0	-	-	+	0	0	-	-	-	-	-	+	0	0	-	+	-	-	0	-	+	+	+	-	0	0	0	-	0	0	-	0	0	-	0	0	-	+	-	-	0	-	-	0	+	0	-	0	0	0	0	false
+	+	+	-	+	0	+	0	0	+	+	-	+	+	-	-	+	0	-	-	+	-	-	-	-	-	0	0	-	-	+	-	0	0	0	0	+	-	-	-	-	-	0	0	-	-	+	0	0	-	-	-	-	-	+	0	0	-	+	-	-	0	-	+	+	+	+	+	+	-	0	0	0	+	-	0	0	0	0	-	+	-	-	0	-	-	0	-	-	+	+	0	-	+	false
+	+	+	-	+	0	+	0	0	+	+	-	+	+	-	-	+	0	-	-	+	-	-	-	-	-	0	0	-	-	+	-	0	0	0	0	+	-	-	-	-	-	0	0	-	-	+	0	0	-	-	-	-	-	+	0	0	-	+	-	-	0	-	+	+	+	+	+	+	-	0	0	0	+	-	0	0	0	0	-	+	-	-	0	-	-	0	-	-	+	+	0	-	+	false
+	+	+	-	+	0	+	0	0	+	+	-	-	+	-	-	+	0	-	+	0	-	-	-	-	-	0	0	-	-	-	-	0	0	0	0	+	-	-	-	-	-	0	0	-	+	-	-	+	-	-	-	0	0	+	0	0	-	+	-	-	-	-	+	+	+	+	+	+	0	0	0	0	0	-	0	0	0	0	0	0	-	0	0	-	-	0	+	-	0	0	0	0	0	false
+	+	+	-	+	0	+	0	0	+	+	-	+	+	-	-	+	0	-	+	0	-	-	-	+	-	0	0	-	-	-	-	0	0	0	0	+	-	-	-	-	-	0	0	-	+	-	-	-	-	-	-	0	-	+	0	0	-	+	-	-	-	-	+	+	+	+	+	+	0	0	0	0	0	-	0	0	0	0	0	0	-	0	0	-	-	0	+	-	0	0	0	0	0	false
+	+	+	-	+	0	+	0	0	+	+	-	-	+	-	-	+	0	-	+	0	-	-	-	+	-	0	0	-	-	-	-	0	0	0	0	+	-	-	-	-	-	0	0	-	+	-	-	-	-	-	-	0	0	+	0	0	-	+	-	-	-	-	+	+	+	+	+	+	0	0	0	0	0	-	0	0	0	0	0	0	-	0	0	-	-	0	+	-	0	0	0	0	0	false
+	+	+	-	+	0	+	0	0	+	+	-	+	+	-	-	+	0	-	+	0	-	-	-	+	-	0	0	-	-	-	-	0	0	0	0	+	-	-	-	-	-	0	0	-	+	+	0	-	-	-	-	0	-	+	0	0	-	+	-	-	-	-	+	+	+	+	+	+	-	0	-	0	0	-	0	0	0	0	0	0	-	0	0	-	-	0	+	-	0	0	0	0	0	false
+	+	+	-	+	0	+	0	0	+	+	-	+	+	-	-	+	0	-	+	0	-	-	+	0	-	0	0	-	-	-	-	0	0	0	0	+	-	-	-	-	-	-	0	-	+	-	-	+	-	-	-	0	-	+	0	0	-	+	-	-	-	-	+	+	+	+	+	+	0	0	0	-	0	-	0	0	0	0	0	0	-	0	0	+	-	0	+	-	0	0	0	0	0	false
+	+	+	-	+	0	+	0	0	+	+	-	+	+	-	-	+	0	+	+	0	-	-	+	0	-	0	0	-	-	-	-	0	0	0	0	+	-	-	-	-	-	+	-	-	+	+	0	0	-	-	-	0	-	+	0	0	-	+	-	-	-	-	+	+	+	+	+	+	-	0	-	-	0	-	0	0	0	0	+	0	-	0	0	+	-	0	+	-	0	0	0	0	0	false
+	+	+	-	+	0	+	0	0	+	+	-	+	+	-	-	+	0	-	+	0	-	-	+	0	-	0	0	-	-	-	-	0	0	0	0	+	-	-	-	-	-	-	0	-	+	-	-	+	-	-	-	0	-	+	0	0	-	+	-	-	-	-	+	+	+	+	+	+	0	0	0	+	0	-	0	0	0	0	0	0	-	0	0	+	-	0	+	-	0	0	0	0	0	false
